precinct,office,district,candidate,party,votes
09-660 Valdez No. 3,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,13
09-660 Valdez No. 3,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,33
09-660 Valdez No. 3,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,12
09-660 Valdez No. 3,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,23
09-660 Valdez No. 3,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,9
09-660 Valdez No. 3,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,9
09-660 Valdez No. 3,State Senate,E,Registered Voters,,1219
09-660 Valdez No. 3,State Senate,E,Times Counted,,37
09-660 Valdez No. 3,State Senate,E,"Kay, Susan \Su\""""",DEM,30
09-660 Valdez No. 3,State Senate,E,Registered Voters,,1219
09-660 Valdez No. 3,State Senate,E,Times Counted,,119
09-660 Valdez No. 3,State Senate,E,"Kowalke, Randall D.",REP,39
09-660 Valdez No. 3,State Senate,E,"Shower, Michael K.",REP,67
09-660 Valdez No. 3,State House,9,Registered Voters,,1219
09-660 Valdez No. 3,State House,9,Times Counted,,37
09-660 Valdez No. 3,State House,9,"Johnson, Bill",DEM,32
09-660 Valdez No. 3,State House,9,Registered Voters,,1219
09-660 Valdez No. 3,State House,9,Times Counted,,119
09-660 Valdez No. 3,State House,9,"Goode, Pamela",REP,31
09-660 Valdez No. 3,State House,9,"Colver, Jim",REP,35
09-660 Valdez No. 3,State House,9,"Rauscher, George",REP,52
09-665 Whittier,U.S. House,1,Registered Voters,,218
09-665 Whittier,U.S. House,1,Times Counted,,16
09-665 Whittier,U.S. House,1,"Cumings, Christophe",DEM,0
09-665 Whittier,U.S. House,1,"Galvin, Alyse S.",DEM,6
09-665 Whittier,U.S. House,1,"Hafner, Carol",DEM,5
09-665 Whittier,U.S. House,1,"Shein, Dimitri",DEM,4
09-665 Whittier,U.S. House,1,Registered Voters,,218
09-665 Whittier,U.S. House,1,Times Counted,,38
09-665 Whittier,U.S. House,1,"Nelson, Thomas",REP,5
09-665 Whittier,U.S. House,1,"Whittaker, Jed",REP,9
09-665 Whittier,U.S. House,1,"Young, Don",REP,23
09-665 Whittier,GOVERNOR,,Registered Voters,,218
09-665 Whittier,GOVERNOR,,Times Counted,,16
09-665 Whittier,GOVERNOR,,"Begich, Mark",DEM,14
09-665 Whittier,GOVERNOR,,"Toien, William S.",LIB,2
09-665 Whittier,GOVERNOR,,Registered Voters,,218
09-665 Whittier,GOVERNOR,,Times Counted,,38
09-665 Whittier,GOVERNOR,,"Colbry, Darin A.",REP,1
09-665 Whittier,GOVERNOR,,"Dunleavy, Mike J.",REP,23
09-665 Whittier,GOVERNOR,,"Gordon, Thomas A.",REP,2
09-665 Whittier,GOVERNOR,,"Heikes, Gerald L.",REP,0
09-665 Whittier,GOVERNOR,,"Hlatcu, Merica",REP,1
09-665 Whittier,GOVERNOR,,"Sheldon, Michael D.",REP,0
09-665 Whittier,GOVERNOR,,"Treadwell, Mead",REP,11
09-665 Whittier,LIEUTENANT GOVERNOR,,Registered Voters,,218
09-665 Whittier,LIEUTENANT GOVERNOR,,Times Counted,,16
09-665 Whittier,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,16
09-665 Whittier,LIEUTENANT GOVERNOR,,Registered Voters,,218
09-665 Whittier,LIEUTENANT GOVERNOR,,Times Counted,,38
09-665 Whittier,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,4
09-665 Whittier,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,5
09-665 Whittier,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,11
09-665 Whittier,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,11
09-665 Whittier,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,3
09-665 Whittier,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,1
09-665 Whittier,State Senate,E,Registered Voters,,218
09-665 Whittier,State Senate,E,Times Counted,,16
09-665 Whittier,State Senate,E,"Kay, Susan \Su\""""",DEM,14
09-665 Whittier,State Senate,E,Registered Voters,,218
09-665 Whittier,State Senate,E,Times Counted,,38
09-665 Whittier,State Senate,E,"Kowalke, Randall D.",REP,13
09-665 Whittier,State Senate,E,"Shower, Michael K.",REP,20
09-665 Whittier,State House,9,Registered Voters,,218
09-665 Whittier,State House,9,Times Counted,,16
09-665 Whittier,State House,9,"Johnson, Bill",DEM,16
09-665 Whittier,State House,9,Registered Voters,,218
09-665 Whittier,State House,9,Times Counted,,38
09-665 Whittier,State House,9,"Goode, Pamela",REP,12
09-665 Whittier,State House,9,"Colver, Jim",REP,6
09-665 Whittier,State House,9,"Rauscher, George",REP,15
10-005 Kings Lake,U.S. House,1,Registered Voters,,1391
10-005 Kings Lake,U.S. House,1,Times Counted,,37
10-005 Kings Lake,U.S. House,1,"Cumings, Christophe",DEM,2
10-005 Kings Lake,U.S. House,1,"Galvin, Alyse S.",DEM,14
10-005 Kings Lake,U.S. House,1,"Hafner, Carol",DEM,11
10-005 Kings Lake,U.S. House,1,"Shein, Dimitri",DEM,10
10-005 Kings Lake,U.S. House,1,Registered Voters,,1391
10-005 Kings Lake,U.S. House,1,Times Counted,,167
10-005 Kings Lake,U.S. House,1,"Nelson, Thomas",REP,29
10-005 Kings Lake,U.S. House,1,"Whittaker, Jed",REP,21
10-005 Kings Lake,U.S. House,1,"Young, Don",REP,110
10-005 Kings Lake,GOVERNOR,,Registered Voters,,1391
10-005 Kings Lake,GOVERNOR,,Times Counted,,37
10-005 Kings Lake,GOVERNOR,,"Begich, Mark",DEM,34
10-005 Kings Lake,GOVERNOR,,"Toien, William S.",LIB,3
10-005 Kings Lake,GOVERNOR,,Registered Voters,,1391
10-005 Kings Lake,GOVERNOR,,Times Counted,,167
10-005 Kings Lake,GOVERNOR,,"Colbry, Darin A.",REP,0
10-005 Kings Lake,GOVERNOR,,"Dunleavy, Mike J.",REP,123
10-005 Kings Lake,GOVERNOR,,"Gordon, Thomas A.",REP,1
10-005 Kings Lake,GOVERNOR,,"Heikes, Gerald L.",REP,3
10-005 Kings Lake,GOVERNOR,,"Hlatcu, Merica",REP,0
10-005 Kings Lake,GOVERNOR,,"Sheldon, Michael D.",REP,2
10-005 Kings Lake,GOVERNOR,,"Treadwell, Mead",REP,35
10-005 Kings Lake,LIEUTENANT GOVERNOR,,Registered Voters,,1391
10-005 Kings Lake,LIEUTENANT GOVERNOR,,Times Counted,,37
10-005 Kings Lake,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,34
10-005 Kings Lake,LIEUTENANT GOVERNOR,,Registered Voters,,1391
10-005 Kings Lake,LIEUTENANT GOVERNOR,,Times Counted,,167
10-005 Kings Lake,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,18
10-005 Kings Lake,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,78
10-005 Kings Lake,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,7
10-005 Kings Lake,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,41
10-005 Kings Lake,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,10
10-005 Kings Lake,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,6
10-005 Kings Lake,State Senate,E,Registered Voters,,1391
10-005 Kings Lake,State Senate,E,Times Counted,,37
10-005 Kings Lake,State Senate,E,"Kay, Susan \Su\""""",DEM,34
10-005 Kings Lake,State Senate,E,Registered Voters,,1391
10-005 Kings Lake,State Senate,E,Times Counted,,167
10-005 Kings Lake,State Senate,E,"Kowalke, Randall D.",REP,48
10-005 Kings Lake,State Senate,E,"Shower, Michael K.",REP,108
10-005 Kings Lake,State House,10,Registered Voters,,1391
10-005 Kings Lake,State House,10,Times Counted,,37
10-005 Kings Lake,State House,10,"Lacy, Neal T.",DEM,15
10-005 Kings Lake,State House,10,"Faye-Brazel, Patrici",DEM,20
10-005 Kings Lake,State House,10,Registered Voters,,1391
10-005 Kings Lake,State House,10,Times Counted,,167
10-005 Kings Lake,State House,10,"Eastman, David",REP,136
10-010 Church,U.S. House,1,Registered Voters,,2277
10-010 Church,U.S. House,1,Times Counted,,51
10-010 Church,U.S. House,1,"Cumings, Christophe",DEM,9
10-010 Church,U.S. House,1,"Galvin, Alyse S.",DEM,24
10-010 Church,U.S. House,1,"Hafner, Carol",DEM,11
10-010 Church,U.S. House,1,"Shein, Dimitri",DEM,5
10-010 Church,U.S. House,1,Registered Voters,,2277
10-010 Church,U.S. House,1,Times Counted,,291
10-010 Church,U.S. House,1,"Nelson, Thomas",REP,66
10-010 Church,U.S. House,1,"Whittaker, Jed",REP,39
10-010 Church,U.S. House,1,"Young, Don",REP,176
10-010 Church,GOVERNOR,,Registered Voters,,2277
10-010 Church,GOVERNOR,,Times Counted,,51
10-010 Church,GOVERNOR,,"Begich, Mark",DEM,39
10-010 Church,GOVERNOR,,"Toien, William S.",LIB,12
10-010 Church,GOVERNOR,,Registered Voters,,2277
10-010 Church,GOVERNOR,,Times Counted,,291
10-010 Church,GOVERNOR,,"Colbry, Darin A.",REP,0
10-010 Church,GOVERNOR,,"Dunleavy, Mike J.",REP,241
10-010 Church,GOVERNOR,,"Gordon, Thomas A.",REP,3
10-010 Church,GOVERNOR,,"Heikes, Gerald L.",REP,0
10-010 Church,GOVERNOR,,"Hlatcu, Merica",REP,2
10-010 Church,GOVERNOR,,"Sheldon, Michael D.",REP,5
10-010 Church,GOVERNOR,,"Treadwell, Mead",REP,40
10-010 Church,LIEUTENANT GOVERNOR,,Registered Voters,,2277
10-010 Church,LIEUTENANT GOVERNOR,,Times Counted,,51
10-010 Church,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,44
10-010 Church,LIEUTENANT GOVERNOR,,Registered Voters,,2277
10-010 Church,LIEUTENANT GOVERNOR,,Times Counted,,291
10-010 Church,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,39
10-010 Church,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,128
10-010 Church,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,11
10-010 Church,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,63
10-010 Church,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,24
10-010 Church,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,14
10-010 Church,State Senate,E,Registered Voters,,2277
10-010 Church,State Senate,E,Times Counted,,51
10-010 Church,State Senate,E,"Kay, Susan \Su\""""",DEM,48
10-010 Church,State Senate,E,Registered Voters,,2277
10-010 Church,State Senate,E,Times Counted,,291
10-010 Church,State Senate,E,"Kowalke, Randall D.",REP,60
10-010 Church,State Senate,E,"Shower, Michael K.",REP,204
10-010 Church,State House,10,Registered Voters,,2277
10-010 Church,State House,10,Times Counted,,51
10-010 Church,State House,10,"Lacy, Neal T.",DEM,17
10-010 Church,State House,10,"Faye-Brazel, Patrici",DEM,31
10-010 Church,State House,10,Registered Voters,,2277
10-010 Church,State House,10,Times Counted,,291
10-010 Church,State House,10,"Eastman, David",REP,240
10-015 Tanaina,U.S. House,1,Registered Voters,,2543
10-015 Tanaina,U.S. House,1,Times Counted,,68
10-015 Tanaina,U.S. House,1,"Cumings, Christophe",DEM,7
10-015 Tanaina,U.S. House,1,"Galvin, Alyse S.",DEM,34
10-015 Tanaina,U.S. House,1,"Hafner, Carol",DEM,6
10-015 Tanaina,U.S. House,1,"Shein, Dimitri",DEM,17
10-015 Tanaina,U.S. House,1,Registered Voters,,2543
10-015 Tanaina,U.S. House,1,Times Counted,,366
10-015 Tanaina,U.S. House,1,"Nelson, Thomas",REP,67
10-015 Tanaina,U.S. House,1,"Whittaker, Jed",REP,50
10-015 Tanaina,U.S. House,1,"Young, Don",REP,238
10-015 Tanaina,GOVERNOR,,Registered Voters,,2543
10-015 Tanaina,GOVERNOR,,Times Counted,,68
10-015 Tanaina,GOVERNOR,,"Begich, Mark",DEM,55
10-015 Tanaina,GOVERNOR,,"Toien, William S.",LIB,10
10-015 Tanaina,GOVERNOR,,Registered Voters,,2543
10-015 Tanaina,GOVERNOR,,Times Counted,,366
10-015 Tanaina,GOVERNOR,,"Colbry, Darin A.",REP,2
10-015 Tanaina,GOVERNOR,,"Dunleavy, Mike J.",REP,278
10-015 Tanaina,GOVERNOR,,"Gordon, Thomas A.",REP,7
10-015 Tanaina,GOVERNOR,,"Heikes, Gerald L.",REP,2
10-015 Tanaina,GOVERNOR,,"Hlatcu, Merica",REP,1
10-015 Tanaina,GOVERNOR,,"Sheldon, Michael D.",REP,4
10-015 Tanaina,GOVERNOR,,"Treadwell, Mead",REP,71
10-015 Tanaina,LIEUTENANT GOVERNOR,,Registered Voters,,2543
10-015 Tanaina,LIEUTENANT GOVERNOR,,Times Counted,,68
10-015 Tanaina,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,62
10-015 Tanaina,LIEUTENANT GOVERNOR,,Registered Voters,,2543
10-015 Tanaina,LIEUTENANT GOVERNOR,,Times Counted,,366
10-015 Tanaina,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,45
10-015 Tanaina,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,180
10-015 Tanaina,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,15
10-015 Tanaina,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,92
10-015 Tanaina,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,13
10-015 Tanaina,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,11
10-015 Tanaina,State Senate,E,Registered Voters,,2543
10-015 Tanaina,State Senate,E,Times Counted,,68
10-015 Tanaina,State Senate,E,"Kay, Susan \Su\""""",DEM,64
10-015 Tanaina,State Senate,E,Registered Voters,,2543
10-015 Tanaina,State Senate,E,Times Counted,,366
10-015 Tanaina,State Senate,E,"Kowalke, Randall D.",REP,110
10-015 Tanaina,State Senate,E,"Shower, Michael K.",REP,237
10-015 Tanaina,State House,10,Registered Voters,,2543
10-015 Tanaina,State House,10,Times Counted,,68
10-015 Tanaina,State House,10,"Lacy, Neal T.",DEM,35
10-015 Tanaina,State House,10,"Faye-Brazel, Patrici",DEM,30
10-015 Tanaina,State House,10,Registered Voters,,2543
10-015 Tanaina,State House,10,Times Counted,,366
10-015 Tanaina,State House,10,"Eastman, David",REP,316
10-020 Houston,U.S. House,1,Registered Voters,,1484
10-020 Houston,U.S. House,1,Times Counted,,29
10-020 Houston,U.S. House,1,"Cumings, Christophe",DEM,4
10-020 Houston,U.S. House,1,"Galvin, Alyse S.",DEM,10
10-020 Houston,U.S. House,1,"Hafner, Carol",DEM,5
10-020 Houston,U.S. House,1,"Shein, Dimitri",DEM,8
10-020 Houston,U.S. House,1,Registered Voters,,1484
10-020 Houston,U.S. House,1,Times Counted,,231
10-020 Houston,U.S. House,1,"Nelson, Thomas",REP,38
10-020 Houston,U.S. House,1,"Whittaker, Jed",REP,23
10-020 Houston,U.S. House,1,"Young, Don",REP,164
10-020 Houston,GOVERNOR,,Registered Voters,,1484
10-020 Houston,GOVERNOR,,Times Counted,,29
10-020 Houston,GOVERNOR,,"Begich, Mark",DEM,21
10-020 Houston,GOVERNOR,,"Toien, William S.",LIB,7
10-020 Houston,GOVERNOR,,Registered Voters,,1484
10-020 Houston,GOVERNOR,,Times Counted,,231
10-020 Houston,GOVERNOR,,"Colbry, Darin A.",REP,1
10-020 Houston,GOVERNOR,,"Dunleavy, Mike J.",REP,200
10-020 Houston,GOVERNOR,,"Gordon, Thomas A.",REP,2
10-020 Houston,GOVERNOR,,"Heikes, Gerald L.",REP,1
10-020 Houston,GOVERNOR,,"Hlatcu, Merica",REP,1
10-020 Houston,GOVERNOR,,"Sheldon, Michael D.",REP,2
10-020 Houston,GOVERNOR,,"Treadwell, Mead",REP,24
10-020 Houston,LIEUTENANT GOVERNOR,,Registered Voters,,1484
10-020 Houston,LIEUTENANT GOVERNOR,,Times Counted,,29
10-020 Houston,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,26
10-020 Houston,LIEUTENANT GOVERNOR,,Registered Voters,,1484
10-020 Houston,LIEUTENANT GOVERNOR,,Times Counted,,231
10-020 Houston,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,33
10-020 Houston,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,109
10-020 Houston,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,10
10-020 Houston,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,50
10-020 Houston,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,7
10-020 Houston,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,9
10-020 Houston,State Senate,E,Registered Voters,,1484
10-020 Houston,State Senate,E,Times Counted,,29
10-020 Houston,State Senate,E,"Kay, Susan \Su\""""",DEM,25
10-020 Houston,State Senate,E,Registered Voters,,1484
10-020 Houston,State Senate,E,Times Counted,,231
10-020 Houston,State Senate,E,"Kowalke, Randall D.",REP,73
10-020 Houston,State Senate,E,"Shower, Michael K.",REP,136
10-020 Houston,State House,10,Registered Voters,,1484
10-020 Houston,State House,10,Times Counted,,29
10-020 Houston,State House,10,"Lacy, Neal T.",DEM,3
10-020 Houston,State House,10,"Faye-Brazel, Patrici",DEM,21
10-020 Houston,State House,10,Registered Voters,,1484
10-020 Houston,State House,10,Times Counted,,231
10-020 Houston,State House,10,"Eastman, David",REP,197
10-025 Meadow Lakes No. 3,U.S. House,1,Registered Voters,,1312
10-025 Meadow Lakes No. 3,U.S. House,1,Times Counted,,33
10-025 Meadow Lakes No. 3,U.S. House,1,"Cumings, Christophe",DEM,4
10-025 Meadow Lakes No. 3,U.S. House,1,"Galvin, Alyse S.",DEM,18
10-025 Meadow Lakes No. 3,U.S. House,1,"Hafner, Carol",DEM,5
10-025 Meadow Lakes No. 3,U.S. House,1,"Shein, Dimitri",DEM,3
10-025 Meadow Lakes No. 3,U.S. House,1,Registered Voters,,1312
10-025 Meadow Lakes No. 3,U.S. House,1,Times Counted,,162
10-025 Meadow Lakes No. 3,U.S. House,1,"Nelson, Thomas",REP,35
10-025 Meadow Lakes No. 3,U.S. House,1,"Whittaker, Jed",REP,24
10-025 Meadow Lakes No. 3,U.S. House,1,"Young, Don",REP,97
10-025 Meadow Lakes No. 3,GOVERNOR,,Registered Voters,,1312
10-025 Meadow Lakes No. 3,GOVERNOR,,Times Counted,,33
10-025 Meadow Lakes No. 3,GOVERNOR,,"Begich, Mark",DEM,24
10-025 Meadow Lakes No. 3,GOVERNOR,,"Toien, William S.",LIB,6
10-025 Meadow Lakes No. 3,GOVERNOR,,Registered Voters,,1312
10-025 Meadow Lakes No. 3,GOVERNOR,,Times Counted,,162
10-025 Meadow Lakes No. 3,GOVERNOR,,"Colbry, Darin A.",REP,1
10-025 Meadow Lakes No. 3,GOVERNOR,,"Dunleavy, Mike J.",REP,136
10-025 Meadow Lakes No. 3,GOVERNOR,,"Gordon, Thomas A.",REP,2
10-025 Meadow Lakes No. 3,GOVERNOR,,"Heikes, Gerald L.",REP,0
10-025 Meadow Lakes No. 3,GOVERNOR,,"Hlatcu, Merica",REP,1
10-025 Meadow Lakes No. 3,GOVERNOR,,"Sheldon, Michael D.",REP,2
10-025 Meadow Lakes No. 3,GOVERNOR,,"Treadwell, Mead",REP,19
10-025 Meadow Lakes No. 3,LIEUTENANT GOVERNOR,,Registered Voters,,1312
10-025 Meadow Lakes No. 3,LIEUTENANT GOVERNOR,,Times Counted,,33
10-025 Meadow Lakes No. 3,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,24
10-025 Meadow Lakes No. 3,LIEUTENANT GOVERNOR,,Registered Voters,,1312
10-025 Meadow Lakes No. 3,LIEUTENANT GOVERNOR,,Times Counted,,162
10-025 Meadow Lakes No. 3,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,23
10-025 Meadow Lakes No. 3,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,79
10-025 Meadow Lakes No. 3,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,11
10-025 Meadow Lakes No. 3,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,30
10-025 Meadow Lakes No. 3,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,11
10-025 Meadow Lakes No. 3,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,1
10-025 Meadow Lakes No. 3,State Senate,E,Registered Voters,,1312
10-025 Meadow Lakes No. 3,State Senate,E,Times Counted,,33
10-025 Meadow Lakes No. 3,State Senate,E,"Kay, Susan \Su\""""",DEM,25
10-025 Meadow Lakes No. 3,State Senate,E,Registered Voters,,1312
10-025 Meadow Lakes No. 3,State Senate,E,Times Counted,,162
10-025 Meadow Lakes No. 3,State Senate,E,"Kowalke, Randall D.",REP,49
10-025 Meadow Lakes No. 3,State Senate,E,"Shower, Michael K.",REP,100
10-025 Meadow Lakes No. 3,State House,10,Registered Voters,,1312
10-025 Meadow Lakes No. 3,State House,10,Times Counted,,33
10-025 Meadow Lakes No. 3,State House,10,"Lacy, Neal T.",DEM,19
10-025 Meadow Lakes No. 3,State House,10,"Faye-Brazel, Patrici",DEM,13
10-025 Meadow Lakes No. 3,State House,10,Registered Voters,,1312
10-025 Meadow Lakes No. 3,State House,10,Times Counted,,162
10-025 Meadow Lakes No. 3,State House,10,"Eastman, David",REP,142
10-030 Susitna,U.S. House,1,Registered Voters,,1306
10-030 Susitna,U.S. House,1,Times Counted,,41
10-030 Susitna,U.S. House,1,"Cumings, Christophe",DEM,1
10-030 Susitna,U.S. House,1,"Galvin, Alyse S.",DEM,16
10-030 Susitna,U.S. House,1,"Hafner, Carol",DEM,8
10-030 Susitna,U.S. House,1,"Shein, Dimitri",DEM,8
10-030 Susitna,U.S. House,1,Registered Voters,,1306
10-030 Susitna,U.S. House,1,Times Counted,,193
10-030 Susitna,U.S. House,1,"Nelson, Thomas",REP,23
10-030 Susitna,U.S. House,1,"Whittaker, Jed",REP,27
10-030 Susitna,U.S. House,1,"Young, Don",REP,138
10-030 Susitna,GOVERNOR,,Registered Voters,,1306
10-030 Susitna,GOVERNOR,,Times Counted,,41
10-030 Susitna,GOVERNOR,,"Begich, Mark",DEM,30
10-030 Susitna,GOVERNOR,,"Toien, William S.",LIB,7
10-030 Susitna,GOVERNOR,,Registered Voters,,1306
10-030 Susitna,GOVERNOR,,Times Counted,,193
10-030 Susitna,GOVERNOR,,"Colbry, Darin A.",REP,0
10-030 Susitna,GOVERNOR,,"Dunleavy, Mike J.",REP,155
10-030 Susitna,GOVERNOR,,"Gordon, Thomas A.",REP,3
10-030 Susitna,GOVERNOR,,"Heikes, Gerald L.",REP,0
10-030 Susitna,GOVERNOR,,"Hlatcu, Merica",REP,3
10-030 Susitna,GOVERNOR,,"Sheldon, Michael D.",REP,4
10-030 Susitna,GOVERNOR,,"Treadwell, Mead",REP,26
10-030 Susitna,LIEUTENANT GOVERNOR,,Registered Voters,,1306
10-030 Susitna,LIEUTENANT GOVERNOR,,Times Counted,,41
10-030 Susitna,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,28
10-030 Susitna,LIEUTENANT GOVERNOR,,Registered Voters,,1306
10-030 Susitna,LIEUTENANT GOVERNOR,,Times Counted,,193
10-030 Susitna,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,28
10-030 Susitna,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,49
10-030 Susitna,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,11
10-030 Susitna,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,61
10-030 Susitna,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,17
10-030 Susitna,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,9
10-030 Susitna,State Senate,E,Registered Voters,,1306
10-030 Susitna,State Senate,E,Times Counted,,41
10-030 Susitna,State Senate,E,"Kay, Susan \Su\""""",DEM,29
10-030 Susitna,State Senate,E,Registered Voters,,1306
10-030 Susitna,State Senate,E,Times Counted,,193
10-030 Susitna,State Senate,E,"Kowalke, Randall D.",REP,69
10-030 Susitna,State Senate,E,"Shower, Michael K.",REP,110
10-030 Susitna,State House,10,Registered Voters,,1306
10-030 Susitna,State House,10,Times Counted,,41
10-030 Susitna,State House,10,"Lacy, Neal T.",DEM,16
10-030 Susitna,State House,10,"Faye-Brazel, Patrici",DEM,18
10-030 Susitna,State House,10,Registered Voters,,1306
10-030 Susitna,State House,10,Times Counted,,193
10-030 Susitna,State House,10,"Eastman, David",REP,158
10-035 Talkeetna,U.S. House,1,Registered Voters,,1048
10-035 Talkeetna,U.S. House,1,Times Counted,,111
10-035 Talkeetna,U.S. House,1,"Cumings, Christophe",DEM,2
10-035 Talkeetna,U.S. House,1,"Galvin, Alyse S.",DEM,64
10-035 Talkeetna,U.S. House,1,"Hafner, Carol",DEM,17
10-035 Talkeetna,U.S. House,1,"Shein, Dimitri",DEM,22
10-035 Talkeetna,U.S. House,1,Registered Voters,,1048
10-035 Talkeetna,U.S. House,1,Times Counted,,126
10-035 Talkeetna,U.S. House,1,"Nelson, Thomas",REP,24
10-035 Talkeetna,U.S. House,1,"Whittaker, Jed",REP,22
10-035 Talkeetna,U.S. House,1,"Young, Don",REP,72
10-035 Talkeetna,GOVERNOR,,Registered Voters,,1048
10-035 Talkeetna,GOVERNOR,,Times Counted,,111
10-035 Talkeetna,GOVERNOR,,"Begich, Mark",DEM,97
10-035 Talkeetna,GOVERNOR,,"Toien, William S.",LIB,7
10-035 Talkeetna,GOVERNOR,,Registered Voters,,1048
10-035 Talkeetna,GOVERNOR,,Times Counted,,126
10-035 Talkeetna,GOVERNOR,,"Colbry, Darin A.",REP,0
10-035 Talkeetna,GOVERNOR,,"Dunleavy, Mike J.",REP,83
10-035 Talkeetna,GOVERNOR,,"Gordon, Thomas A.",REP,0
10-035 Talkeetna,GOVERNOR,,"Heikes, Gerald L.",REP,0
10-035 Talkeetna,GOVERNOR,,"Hlatcu, Merica",REP,2
10-035 Talkeetna,GOVERNOR,,"Sheldon, Michael D.",REP,4
10-035 Talkeetna,GOVERNOR,,"Treadwell, Mead",REP,33
10-035 Talkeetna,LIEUTENANT GOVERNOR,,Registered Voters,,1048
10-035 Talkeetna,LIEUTENANT GOVERNOR,,Times Counted,,111
10-035 Talkeetna,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,91
10-035 Talkeetna,LIEUTENANT GOVERNOR,,Registered Voters,,1048
10-035 Talkeetna,LIEUTENANT GOVERNOR,,Times Counted,,126
10-035 Talkeetna,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,22
10-035 Talkeetna,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,35
10-035 Talkeetna,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,11
10-035 Talkeetna,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,23
10-035 Talkeetna,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,13
10-035 Talkeetna,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,6
10-035 Talkeetna,State Senate,E,Registered Voters,,1048
10-035 Talkeetna,State Senate,E,Times Counted,,111
10-035 Talkeetna,State Senate,E,"Kay, Susan \Su\""""",DEM,96
10-035 Talkeetna,State Senate,E,Registered Voters,,1048
10-035 Talkeetna,State Senate,E,Times Counted,,126
10-035 Talkeetna,State Senate,E,"Kowalke, Randall D.",REP,35
10-035 Talkeetna,State Senate,E,"Shower, Michael K.",REP,80
10-035 Talkeetna,State House,10,Registered Voters,,1048
10-035 Talkeetna,State House,10,Times Counted,,111
